LOCATION,TIME,Value
GBR,1999,1.95593
GBR,2000,3.141406
GBR,2001,0.596498
GBR,2002,1.479806
GBR,2003,2.20731
GBR,2004,0.97792
GBR,2005,0.646262
GBR,2006,1.156201
GBR,2007,0.967947
GBR,2008,-0.626901
GBR,2009,-3.437495
GBR,2010,2.024623
GBR,2011,-0.336232
GBR,2012,-0.765985
GBR,2013,0.223921
GBR,2014,0.298903
GBR,2015,1.29331
GBR,2016,-0.454261
GBR,2017,1.328439
GBR,2018,0.164769
GBR,2019,0.177007
GBR,2020,-2.224671
GBR,2021,-0.008942
GBR,2022,0.935983
USA,1985,0.920835
USA,1986,1.199397
USA,1987,0.190747
USA,1988,0.764043
USA,1989,0.418399
USA,1990,0.65743
USA,1991,0.025836
USA,1992,2.535411
USA,1993,0.127768
USA,1994,0.757721
USA,1995,-0.180562
USA,1996,1.574352
USA,1997,0.734817
USA,1998,1.165432
USA,1999,1.640202
USA,2000,1.421319
USA,2001,0.655844
USA,2002,1.57142
USA,2003,2.088226
USA,2004,1.96088
USA,2005,1.394929
USA,2006,0.297324
USA,2007,0.489338
USA,2008,0.083377
USA,2009,1.066127
USA,2010,1.991614
USA,2011,-0.230046
USA,2012,0.136925
USA,2013,0.063385
USA,2014,0.134787
USA,2015,0.428868
USA,2016,-0.016048
USA,2017,0.518805
USA,2018,0.771806
USA,2019,0.681843
USA,2020,1.068765
USA,2021,1.571358
USA,2022,-1.180009
GRC,1990,-0.751182
GRC,1991,2.695366
GRC,1992,-1.993077
GRC,1993,-3.543054
GRC,1994,1.161032
GRC,1995,1.379946
GRC,1996,2.351215
GRC,1997,3.605682
GRC,1998,-0.994038
GRC,1999,1.510937
GRC,2000,1.792934
GRC,2001,2.266933
GRC,2002,0.692515
GRC,2003,2.921727
GRC,2004,2.020331
GRC,2005,-3.059944
GRC,2006,3.090581
GRC,2007,0.946243
GRC,2008,-2.675443
GRC,2009,-4.21959
GRC,2010,-2.994965
GRC,2011,-8.274133
GRC,2012,-5.470347
GRC,2013,-1.496204
GRC,2014,0.853871
GRC,2015,3.283389
GRC,2016,-2.373407
GRC,2017,1.73602
GRC,2018,-1.705444
GRC,2019,2.236849
GRC,2020,-0.396034
GRC,2021,1.077951
GRC,2022,1.391831
LUX,1996,-0.41911
LUX,1997,0.965814
LUX,1998,1.851681
LUX,1999,2.536667
LUX,2000,0.78998
LUX,2001,-2.365748
LUX,2002,0.245929
LUX,2003,0.225291
LUX,2004,1.277102
LUX,2005,0.515296
LUX,2006,2.09039
LUX,2007,2.620682
LUX,2008,-5.243819
LUX,2009,-1.57745
LUX,2010,1.30581
LUX,2011,-2.211435
LUX,2012,-1.052649
LUX,2013,1.176735
LUX,2014,-0.613787
LUX,2015,-0.813594
LUX,2016,1.962637
LUX,2017,-1.682978
LUX,2018,-1.707178
LUX,2019,-0.747677
LUX,2020,2.189827
LUX,2021,-1.455328
LUX,2022,-2.058823
NOR,1990,2.550207
NOR,1991,3.528852
NOR,1992,3.124167
NOR,1993,2.256711
NOR,1994,3.74443
NOR,1995,2.980071
NOR,1996,3.003306
NOR,1997,2.163218
NOR,1998,-0.580012
NOR,1999,0.202288
NOR,2000,2.590951
NOR,2001,2.118026
NOR,2002,0.916287
NOR,2003,1.740652
NOR,2004,1.472368
NOR,2005,0.477254
NOR,2006,-1.070654
NOR,2007,-2.059097
NOR,2008,-3.691691
NOR,2009,-1.572711
NOR,2010,-0.328584
NOR,2011,-1.049458
NOR,2012,0.60162
NOR,2013,-0.087336
NOR,2014,0.428955
NOR,2015,0.904997
NOR,2016,0.162466
NOR,2017,1.424217
NOR,2018,-1.118706
NOR,2019,-0.96819
NOR,2020,-0.559786
NOR,2021,1.322255
NOR,2022,-0.415218
AUS,1985,82.52744
AUS,1986,81.921422
AUS,1987,83.229791
AUS,1988,82.648545
AUS,1989,82.398953
AUS,1990,82.19758
AUS,1991,82.782415
AUS,1992,84.671154
AUS,1993,84.976896
AUS,1994,85.106087
AUS,1995,86.818922
AUS,1996,88.830447
AUS,1997,90.893818
AUS,1998,93.031778
AUS,1999,93.388451
AUS,2000,93.487237
AUS,2001,95.71424
AUS,2002,96.248617
AUS,2003,97.639853
AUS,2004,96.852636
AUS,2005,96.32913
AUS,2006,96.240525
AUS,2007,96.37142
AUS,2008,97.755947
AUS,2009,96.349381
AUS,2010,96.647139
AUS,2011,96.862811
AUS,2012,97.637247
AUS,2013,98.308476
AUS,2014,98.228466
AUS,2015,100.0
AUS,2016,99.806189
AUS,2017,100.717714
AUS,2018,100.704068
AUS,2019,101.02576
AUS,2020,102.457099
AUS,2021,103.529277
AUS,2022,102.917533
AUT,1996,88.858495
AUT,1997,89.109295
AUT,1998,91.406732
AUT,1999,92.352624
AUT,2000,93.563193
AUT,2001,93.516756
AUT,2002,94.134743
AUT,2003,93.909976
AUT,2004,95.088259
AUT,2005,96.604826
AUT,2006,98.630096
AUT,2007,100.586371
AUT,2008,100.134589
AUT,2009,97.973545
AUT,2010,98.933104
AUT,2011,99.598083
AUT,2012,99.863452
AUT,2013,99.561134
AUT,2014,99.383822
AUT,2015,100.0
AUT,2016,99.678641
AUT,2017,100.411321
AUT,2018,100.555899
AUT,2019,99.903695
AUT,2020,99.168515
AUT,2021,99.381929
AUT,2022,101.355668
BEL,1985,87.912548
BEL,1986,88.645703
BEL,1987,89.654912
BEL,1988,91.80493
BEL,1989,92.883924
BEL,1990,93.01431
BEL,1991,94.780677
BEL,1992,96.115289
BEL,1993,96.332816
BEL,1994,98.450466
BEL,1995,97.769268
BEL,1996,97.538722
BEL,1997,98.992761
BEL,1998,98.613652
BEL,1999,99.598543
BEL,2000,99.578993
BEL,2001,98.490702
BEL,2002,98.16462
BEL,2003,97.957313
BEL,2004,100.052372
BEL,2005,100.564134
BEL,2006,100.491002
BEL,2007,101.602945
BEL,2008,100.117406
BEL,2009,98.236132
BEL,2010,99.250335
BEL,2011,98.330242
BEL,2012,98.170227
BEL,2013,98.323205
BEL,2014,99.093971
BEL,2015,100.0
BEL,2016,99.632842
BEL,2017,99.146236
BEL,2018,99.022295
BEL,2019,99.400103
BEL,2020,99.596457
